name,run,time,bytes_recv,bytes_sent,packets_recv,packets_sent,errin,errout,dropin,dropout,workers
opendap-hub-uncompressed,0,114.33318328857422,9730818019,74333165,7461994,1092186,0,0,0,0,8
opendap-hub-uncompressed,1,111.47489404678345,9727321689,73542186,7429548,1080947,0,0,0,0,8
opendap-hub-uncompressed,2,109.42222547531128,9732547270,75406543,7482790,1099522,0,0,0,0,8
opendap-hub-uncompressed,3,110.55521011352539,9730847632,75227929,7450945,1082253,0,0,0,0,8
opendap-hub-uncompressed,4,111.64433407783508,9732757462,75585678,7487260,1106655,0,0,0,0,8
opendap-hub-uncompressed,0,175.4493293762207,9729350109,65134482,7466855,955596,0,0,0,0,4
opendap-hub-uncompressed,1,177.1042594909668,9729025609,65326346,7444657,946645,0,0,0,0,4
opendap-hub-uncompressed,2,173.62136244773865,9730491233,65909206,7474878,961562,0,0,0,0,4
opendap-hub-uncompressed,3,177.7345974445343,9728416755,65140453,7440220,955099,0,0,0,0,4
opendap-hub-uncompressed,4,180.0078992843628,9728538243,65120573,7438609,954616,0,0,0,0,4
opendap-hub-uncompressed,0,343.06819462776184,9723712921,57622472,7356762,832590,0,0,0,0,2
opendap-hub-uncompressed,1,331.5524790287018,9738349856,56662948,7355548,817624,0,0,0,0,2
opendap-hub-uncompressed,2,330.31252813339233,9733805216,65134393,7520889,950864,0,0,0,0,2
opendap-hub-uncompressed,3,329.568950176239,9735479524,63775453,7495476,922520,0,0,0,0,2
opendap-hub-uncompressed,4,329.6620292663574,9729913500,60161646,7454702,878952,0,0,0,0,2
opendap-hub-uncompressed,0,608.6015589237213,9723717147,46470178,7265364,657993,0,0,0,0,1
opendap-hub-uncompressed,1,586.8365020751953,9723616406,49008154,7336875,701074,0,0,0,0,1
opendap-hub-uncompressed,2,632.8055121898651,10382051463,67066472,7789637,756991,0,0,0,0,1
opendap-hub-uncompressed,3,543.7250833511353,10412103583,57507107,7629350,629001,0,0,0,0,1
opendap-hub-uncompressed,4,451.18034648895264,9734321394,57666415,7051529,502433,0,0,0,0,1
opendap-hub-compressed,0,106.7069582939148,5409848176,45969874,4256751,601943,0,0,0,0,8
opendap-hub-compressed,1,108.89480924606323,5405586186,42029393,4250694,601006,0,0,0,0,8
opendap-hub-compressed,2,106.57591366767883,5406751339,42171089,4266817,602260,0,0,0,0,8
opendap-hub-compressed,3,106.56953501701355,5406047387,41909479,4253710,595305,0,0,0,0,8
opendap-hub-compressed,4,106.5089590549469,5408226034,41818940,4262474,595722,0,0,0,0,8
opendap-hub-compressed,0,169.88515400886536,5402266714,36804944,4192718,523490,0,0,0,0,4
opendap-hub-compressed,1,169.33678030967712,5406425912,37341464,4195037,522656,0,0,0,0,4
opendap-hub-compressed,2,171.4325568675995,5401228348,35899776,4184616,510408,0,0,0,0,4
opendap-hub-compressed,3,166.05337500572205,5401990296,36291016,4186971,508229,0,0,0,0,4
opendap-hub-compressed,4,169.58579468727112,5401983492,36485383,4187710,510671,0,0,0,0,4
opendap-hub-compressed,0,323.02024126052856,5403893430,34406229,4196460,468096,0,0,0,0,2
opendap-hub-compressed,1,325.50797057151794,5403112808,32624936,4201977,451983,0,0,0,0,2
opendap-hub-compressed,2,325.79893255233765,5402488243,32539381,4191562,450931,0,0,0,0,2
opendap-hub-compressed,3,323.13698077201843,5401329932,32022240,4176773,443324,0,0,0,0,2
opendap-hub-compressed,4,323.21974873542786,5400239709,31895391,4159728,441070,0,0,0,0,2
opendap-hub-compressed,0,589.5006585121155,5406088639,32728367,4235384,445713,0,0,0,0,1
opendap-hub-compressed,1,570.0993990898132,5409335386,34262641,4289232,470271,0,0,0,0,1
opendap-hub-compressed,2,642.4815683364868,5404326347,31458200,4212001,426042,0,0,0,0,1
opendap-hub-compressed,3,637.9392046928406,5400969367,30115281,4161487,405713,0,0,0,0,1
opendap-hub-compressed,4,582.8477032184601,5405797519,33067868,4236889,451930,0,0,0,0,1
